12034,battle-black,c,black,,
18479,battle-scarlet,c,scarlet,,
17057,bay-color,y,,,
4833,bay-colored,y,,m,
11766,bayonet-blue,c,blue,,
6378,be-gilt,n,gilt,,
13515,bead-black,c,black,,
16887,beady-black,c,black,,
2664,beautifally-colored,n,beautifully-colored,m,
2358,beautiful-colored,n,,m,
10983,beautifully-colored,n,,m,
14722,beautifully-white,c,white,,
17330,became-red,n,red,,
15496,beef-bone,n,,,
10867,beef-red,c,red,,
1310,beer-color,y,,,
17574,beetroot-colored,y,,,
14813,berry-brown,c,brown,,
3641,berry-red,c,red,,
12691,bhickish-green,c,green,,
13796,bhie-gray,c,gray,,
15438,bi-colored,n,,m,
4071,bilious-colored,n,,m,
11788,bilious-yellow,c,yellow,,
6834,bird-lime,c,lime,,
2081,bistre-brown,y,,,
1924,bistre-colored,y,,,
10213,bkie-gray,c,gray,,
1327,blackand-amber,n,black-and-amber,,
7296,blackand-blue,n,black-and-blue,,
18203,blackand-gilt,n,black-and-gilt,,
11884,blackand-gold,n,black-and-gold,,
4533,blackand-golden,n,black-and-golden,,
15504,blackand-tan,n,black-and-tan,,
10842,blackand-white,n,black-and-white,,
10633,blackblackink-black,n,black-black-ink-black,,
10139,blackened-green,c,green,,
1061,blaclvand-tan,n,black-and-tan,,
14632,blanket-colored,n,,,
16565,bleach-green,c,green,,
12650,bleaching-green,c,green,,
17487,blm-red,n,red,,
34,blood-color,y,,,
14966,blood-colored,y,,,
900,blood-crimson,c,crimson,,
6217,blood-purple,c,purple,,
12723,blood-red,c,red,,
15500,bloody-black,c,black,,
3819,bloody-bone,n,,,
17236,bloody-red,c,red,,
6621,bloom-colored,y,,,
15547,blossom-colored,y,,,
6369,blossom-white,c,white,,
13766,blotting-paper-colored,n,,,
5082,blude-red,c,red,,
17627,blueand-gold,n,blue-and-gold,,
7324,blueand-gray,n,blue-and-gray,,
14447,blueand-white,n ,blue-and-white,,
8986,blueish-black,y,,,
13480,blueish-brown,y,,,
13617,blueish-gray,y,,,
919,bluey-brown,y,,,
2605,bluey-gray,y,,,
10921,bluid-red,n,red,,
11299,blush-colored,y,,n,
6382,blush-red,c,red,,
10120,blush-rose,c,red,,
16670,boat-green,c,green,,
6514,bob-cherry,c,cherry,,
1788,body-colored,n,,,
3895,bog-colored,y,,,
4003,boned-gray,c,gray,,
