Name,Base color,Basic/Elaborate,"Kind of term (abstract [hue: red, purple, black], object-sensitive (adjectives that compare to an object) [rosy, silvery, tawny, pearly, ruddy], concrete (could be noun or verb, that serves as color name and adjective [amber, orange, olive, ruby])",Could be an object?
Venetian-red,red,elaborate,abstract,
verdigris,green,elaborate,concrete,y
vermilion,red,elaborate,abstract,
violet,purple,elaborate,abstract,y
viridian,green,elaborate,abstract,
wheat,yellow,elaborate,concrete,y
white,white,basic,abstract,
whiten,white,elaborate,abstract,
whiter,white,elaborate,abstract,
whitest,white,elaborate,abstract,
whitish,white,elaborate,abstract,
wine-yellow,yellow,elaborate,concrete,
yellow,yellow,basic,abstract,
yellower,yellow,elaborate,abstract,
yellowest,yellow,elaborate,abstract,
yellowish,yellow,elaborate,abstract,
yellowy,yellow,elaborate,abstract,
yellowish green,green,elaborate,abstract,
