maize-colored,yellow,
many-colored,,
maple-colored,brown,
marble-colored,gray,
marigold-colored,orange,
maroon-colored,red,
mauve-colored,purple,
mellow-colored,,
metallic-colored,gray,
mildly-colored,,
milk-colored,white,
mimosa-colored,purple,
minium-colored,red,
mist-colored,white,
moist-color,,
molasses-colored,brown,
moon-colored,white,
moonlight-colored,white,
moonlit-colored,white,
morone-colored,gray,
moss-colored,green,
motley-colored,,
mouse-color,gray,
mouse-colored,gray,
mud-color,brown,
mud-colored,brown,
muddy-colored,brown,
mulberry-colored,black,
mullet-colored,gray,
multi-colored,,
mummy-colored,brown,
murrey-colored,red,
mushroom-colored,white,
musk-colored,pink,
mustard-colored,yellow,
myriad-colored,,
myrtle-colored,whote,
mysotis-colored,blue,
nacre-colored,gray,
name-colored,,
nameless-colored,,
nankin-colored,,what's the base?
natural-colored,,
nature-colored,,
neutral-colored,,
new-colored,,
newly-colored,,
nice-colored,,
no-colored,,
nondescript-colored,,
nut-colored,brown,
oak-colored,brown,
oakum-colored,gray,
oat-colored,white,
ochre-colored,orange,
off-color,,
off-colored,,
oil-color,white,
old-colored,,
olive-colored,green,
omni-colored,,
one-colored,,
onyx-colored,orange,
opal-colored,blue,
opaline-colored,blue,
orange-color,orange,
orange-colored,orange,
over-colored,,
oyster-sauce-colored,black,
pale-colored,,
pale-mauve-colored,purple,
paper-colored,white,
parchment-colored,white,
partridge-colored,orange,
peach-color,orange,
peach-colored,orange,
peachy-colored,orange,
pearl-color,white,
pearl-colored,white,
pearly-colored,white,
peas-soup-colored,green,
peat-colored,brown,
peculiar-colored,,
pepper-colored,black,
perdition-colored,,
pig-colored,pink,
pink-colored,pink,
pinkish-colored,pink,
pippin-colored,red,
pistachio-colored,green,
plain-colored,,
pleasant-colored,,
plum-colored,red,
plumbago-colored,blue,
polyanthus-colored,,multi
pomegranate-colored,red,
pompadour-colored,purple,
poppy-colored,red,
porphyry-colored,gray,
portentously-colored,,
porter-colored,brown,
prettier-colored,,
pretty-colored,,
primrose-colored,yellow,
proper-colored,,
prune-colored,black,
puce-colored,brown,
pure-colored,,
purple-colored,purple,
putty-colored,gray,
queer-colored,,
rainbow-colored,,multi
rare-colored,,
red-color,red,
red-colored,red,
reddish-colored,red,
revery-colored,,
rhubarb-colored,red,
rich-colored,,
richest-colored,,
richly-colored,,
ripe-colored,,
roan-colored,brown,
robin's-egg-colored,blue,
rose-color,red,
rose-colored,red,
rosy-colored,red,
rough-colored,,
roughly-colored,,
ruby-colored,red,
ruddle-colored,,
ruddy-colored,,
rude-colored,,
ruse-colored,,
russet-color,brown,
russet-colored,brown,
rust-color,brown,
rust-colored,brown,
rusty-colored,brown,
sad-colored,,
saffron-colored,red,
sage-colored,green,
salamander-colored,black,
salmon-color,pink,
salmon-colored,pink,
salt-colored,white,
sand-colored,yellow,
sandstone-colored,orange,
sandy-color,yellow,
sandy-colored,yellow,
sapphire-colored,blue,
scarlet-color,red,
scarlet-colored,red,
sea-colored,blue,
self-colored,,
senna-colored,green,
sepia-colored,yellow,
serious-colored,,
shabby-colored,,
shamrock-colored,green,
sherry-colored,brown,
showy-colored,,
shrimp-colored,orange,
sickly-colored,,
sienna-colored,orange,
silver-colored,grey,
skin-colored,white,
sky-colored,blue,
slate-color,gray,
slate-colored,gray,
slaty-colored,gray,
slightly-colored,,
sloe-colored,,
smart-colored,,
smoke-colored,,
smoky-colored,,
smut-color,,
snuff-color,,
snuff-colored,,
snuffs-colored,,
sober-colored,,
soft-colored,,
softly-colored,,
sombre-colored,,
soot-colored,black,
sooty-colored,black,
sorrel-colored,green,
spinach-colored,green,
splendidly-colored,,
star-colored,yellow,
steam-colored,white,
steel-colored,gray,
stone-color,gray,
stone-colored,gray,
strange-colored,,
strangely-colored,,
straw-color,yellow,
straw-colored,yellow,
strawberry-colored,red,
strawberry-ice-colored,red,
straws-colored,yellow,
stripe-colored,,
strongly-colored,,
suddenly-colored,yellow,
sulphur-color,yellow,
sulphur-colored,yellow,
summer-colored,,
sun-color,yellow,
sun-colored,yellow,
sunny-colored,yellow,
sunset-colored,orange,
taffy-colored,brown,
tallow-colored,white,
tan-color,brown,
tan-colored,brown,
tansy-colored,yellow,
tawdry-colored,,
tawney-colored,brown,
tawny-colored,brown,
tea-colored,brown,
teak-colored,brown,
tender-colored,,
tenderly-colored,,
thousand-colored,,
three-colored,,
time-colored,,
toad-colored,green,
tobacco-colored,green,
tomato-catsup-colored,red,
topaz-colored,yellow,
tortoise-colored,green,
tow-colored,yellow,
treacle-colored,orange,
tri-color,,
tri-colored,,
tripe-colored,white,
truffle-colored,black,
tulip-colored,,multi
turbid-colored,,
turquoise-colored,blue,
twine-colored,brown,
two-colored,,
tyger-color,orange,
ugly-colored,,
umber-colored,brown,
uncertain-colored,,
uncommon-colored,,
undecided-colored,,
under-colored,,
under-done-pie-crust-colored,white,
uniform-colored,,
vari-colored,,
varied-colored,,
various-colored,,
variously-colored,,
veal-colored,red,
velvet-colored,red,
vermilion-colored,red,
violet-colored,purple,
vividly-colored,,
walnut-color,brown,
walnut-colored,brown,
warm-colored,,
watchet-colored,,
water-colored,blue,
waxen-colored,white,
weather-colored,,
well-colored,,
white-colored,white,
whiter-colored,white,
whitish-colored,white,
wine-colored,,multi
wood-colored,brown,
yellow-clay-colored,yellow,
yellow-colored,yellow,
