color_name,period,absolute_freq,relative_freq,absolute_freq_threshold,relative_freq_threshold
greenish,1800,4,0.02709469603036286,1,0.006773674007590715
jet-black,1800,4,0.02709469603036286,1,0.006773674007590715
puce,1800,4,0.02709469603036286,1,0.006773674007590715
sapphire,1800,4,0.02709469603036286,1,0.006773674007590715
tri-colored,1800,4,0.02709469603036286,1,0.006773674007590715
true-blue,1800,4,0.02709469603036286,1,0.006773674007590715
argent,1800,3,0.020321022022772143,1,0.006773674007590715
bottle-green,1800,3,0.020321022022772143,1,0.006773674007590715
bowling-green,1800,3,0.020321022022772143,1,0.006773674007590715
browner,1800,3,0.020321022022772143,1,0.006773674007590715
emerald-green,1800,3,0.020321022022772143,1,0.006773674007590715
ever-green,1800,3,0.020321022022772143,1,0.006773674007590715
iris,1800,3,0.020321022022772143,1,0.006773674007590715
jade,1800,3,0.020321022022772143,1,0.006773674007590715
oranger,1800,3,0.020321022022772143,1,0.006773674007590715
pea-green,1800,3,0.020321022022772143,1,0.006773674007590715
